Rainfall - (MM), Year, Statistics, Country, ISO3
21.9904, 1991, Jan Average, Ukraine, UKR
30.6504, 1991, Feb Average, Ukraine, UKR
11.4852, 1991, Mar Average, Ukraine, UKR
31.0563, 1991, Apr Average, Ukraine, UKR
92.6688, 1991, May Average, Ukraine, UKR
69.5849, 1991, Jun Average, Ukraine, UKR
65.948, 1991, Jul Average, Ukraine, UKR
71.1348, 1991, Aug Average, Ukraine, UKR
26.0709, 1991, Sep Average, Ukraine, UKR
54.4612, 1991, Oct Average, Ukraine, UKR
23.8309, 1991, Nov Average, Ukraine, UKR
28.6649, 1991, Dec Average, Ukraine, UKR
58.5858, 1992, Jan Average, Ukraine, UKR
28.6348, 1992, Feb Average, Ukraine, UKR
30.2032, 1992, Mar Average, Ukraine, UKR
37.0592, 1992, Apr Average, Ukraine, UKR
61.616, 1992, May Average, Ukraine, UKR
68.7502, 1992, Jun Average, Ukraine, UKR
42.9882, 1992, Jul Average, Ukraine, UKR
17.9138, 1992, Aug Average, Ukraine, UKR
52.9836, 1992, Sep Average, Ukraine, UKR
63.7503, 1992, Oct Average, Ukraine, UKR
62.7041, 1992, Nov Average, Ukraine, UKR
23.2104, 1992, Dec Average, Ukraine, UKR
25.416, 1993, Jan Average, Ukraine, UKR
30.0363, 1993, Feb Average, Ukraine, UKR
37.7074, 1993, Mar Average, Ukraine, UKR
40.5901, 1993, Apr Average, Ukraine, UKR
44.7951, 1993, May Average, Ukraine, UKR
72.7347, 1993, Jun Average, Ukraine, UKR
78.6496, 1993, Jul Average, Ukraine, UKR
41.3619, 1993, Aug Average, Ukraine, UKR
68.8375, 1993, Sep Average, Ukraine, UKR
17.1456, 1993, Oct Average, Ukraine, UKR
17.9635, 1993, Nov Average, Ukraine, UKR
56.8549, 1993, Dec Average, Ukraine, UKR
36.0166, 1994, Jan Average, Ukraine, UKR
18.351, 1994, Feb Average, Ukraine, UKR
46.8281, 1994, Mar Average, Ukraine, UKR
35.3342, 1994, Apr Average, Ukraine, UKR
57.3372, 1994, May Average, Ukraine, UKR
55.2171, 1994, Jun Average, Ukraine, UKR
25.5018, 1994, Jul Average, Ukraine, UKR
63.6319, 1994, Aug Average, Ukraine, UKR
26.0402, 1994, Sep Average, Ukraine, UKR
42.9927, 1994, Oct Average, Ukraine, UKR
34.2768, 1994, Nov Average, Ukraine, UKR
42.5346, 1994, Dec Average, Ukraine, UKR
48.3402, 1995, Jan Average, Ukraine, UKR
39.6763, 1995, Feb Average, Ukraine, UKR
