Temperature - (Celsius), Year, Statistics, Country, ISO3
-2.1579, 1991, Jan Average, Ukraine, UKR
-4.2634, 1991, Feb Average, Ukraine, UKR
1.6698, 1991, Mar Average, Ukraine, UKR
9.15045, 1991, Apr Average, Ukraine, UKR
12.9747, 1991, May Average, Ukraine, UKR
19.0251, 1991, Jun Average, Ukraine, UKR
21.6109, 1991, Jul Average, Ukraine, UKR
19.5913, 1991, Aug Average, Ukraine, UKR
15.1192, 1991, Sep Average, Ukraine, UKR
9.34371, 1991, Oct Average, Ukraine, UKR
3.07105, 1991, Nov Average, Ukraine, UKR
-3.3007, 1991, Dec Average, Ukraine, UKR
-2.8973, 1992, Jan Average, Ukraine, UKR
-2.3293, 1992, Feb Average, Ukraine, UKR
3.37634, 1992, Mar Average, Ukraine, UKR
8.15808, 1992, Apr Average, Ukraine, UKR
13.8051, 1992, May Average, Ukraine, UKR
18.6802, 1992, Jun Average, Ukraine, UKR
20.5599, 1992, Jul Average, Ukraine, UKR
22.4546, 1992, Aug Average, Ukraine, UKR
14.0783, 1992, Sep Average, Ukraine, UKR
7.81014, 1992, Oct Average, Ukraine, UKR
2.40369, 1992, Nov Average, Ukraine, UKR
-3.2628, 1992, Dec Average, Ukraine, UKR
-2.4453, 1993, Jan Average, Ukraine, UKR
-3.1205, 1993, Feb Average, Ukraine, UKR
1.59938, 1993, Mar Average, Ukraine, UKR
8.2568, 1993, Apr Average, Ukraine, UKR
16.1426, 1993, May Average, Ukraine, UKR
17.245, 1993, Jun Average, Ukraine, UKR
18.6733, 1993, Jul Average, Ukraine, UKR
18.9023, 1993, Aug Average, Ukraine, UKR
12.8245, 1993, Sep Average, Ukraine, UKR
8.86659, 1993, Oct Average, Ukraine, UKR
-2.4007, 1993, Nov Average, Ukraine, UKR
-0.1918, 1993, Dec Average, Ukraine, UKR
0.10041, 1994, Jan Average, Ukraine, UKR
-4.9378, 1994, Feb Average, Ukraine, UKR
1.9325, 1994, Mar Average, Ukraine, UKR
10.99, 1994, Apr Average, Ukraine, UKR
14.0483, 1994, May Average, Ukraine, UKR
17.1711, 1994, Jun Average, Ukraine, UKR
21.5429, 1994, Jul Average, Ukraine, UKR
20.1662, 1994, Aug Average, Ukraine, UKR
18.572, 1994, Sep Average, Ukraine, UKR
9.0173, 1994, Oct Average, Ukraine, UKR
1.76916, 1994, Nov Average, Ukraine, UKR
-2.8997, 1994, Dec Average, Ukraine, UKR
-3.8395, 1995, Jan Average, Ukraine, UKR
1.81192, 1995, Feb Average, Ukraine, UKR
3.32032, 1995, Mar Average, Ukraine, UKR
9.26279, 1995, Apr Average, Ukraine, UKR
14.4077, 1995, May Average, Ukraine, UKR
20.1922, 1995, Jun Average, Ukraine, UKR
21.4134, 1995, Jul Average, Ukraine, UKR
19.8561, 1995, Aug Average, Ukraine, UKR
14.7792, 1995, Sep Average, Ukraine, UKR
9.16971, 1995, Oct Average, Ukraine, UKR
0.26176, 1995, Nov Average, Ukraine, UKR
-4.5798, 1995, Dec Average, Ukraine, UKR
-8.3777, 1996, Jan Average, Ukraine, UKR
-6.2059, 1996, Feb Average, Ukraine, UKR
-2.566, 1996, Mar Average, Ukraine, UKR
8.68488, 1996, Apr Average, Ukraine, UKR
17.7789, 1996, May Average, Ukraine, UKR
18.9776, 1996, Jun Average, Ukraine, UKR
20.3332, 1996, Jul Average, Ukraine, UKR
19.6119, 1996, Aug Average, Ukraine, UKR
12.033, 1996, Sep Average, Ukraine, UKR
8.78974, 1996, Oct Average, Ukraine, UKR
6.36322, 1996, Nov Average, Ukraine, UKR
-3.8245, 1996, Dec Average, Ukraine, UKR
-6.1775, 1997, Jan Average, Ukraine, UKR
-2.0765, 1997, Feb Average, Ukraine, UKR
1.46651, 1997, Mar Average, Ukraine, UKR
6.20528, 1997, Apr Average, Ukraine, UKR
15.9685, 1997, May Average, Ukraine, UKR
18.7855, 1997, Jun Average, Ukraine, UKR
19.6674, 1997, Jul Average, Ukraine, UKR
19.1406, 1997, Aug Average, Ukraine, UKR
12.4851, 1997, Sep Average, Ukraine, UKR
6.80233, 1997, Oct Average, Ukraine, UKR
3.19186, 1997, Nov Average, Ukraine, UKR
-3.0012, 1997, Dec Average, Ukraine, UKR
-1.9517, 1998, Jan Average, Ukraine, UKR
-0.1367, 1998, Feb Average, Ukraine, UKR
1.25124, 1998, Mar Average, Ukraine, UKR
10.9944, 1998, Apr Average, Ukraine, UKR
15.0312, 1998, May Average, Ukraine, UKR
20.131, 1998, Jun Average, Ukraine, UKR
20.7712, 1998, Jul Average, Ukraine, UKR
19.5681, 1998, Aug Average, Ukraine, UKR
14.9462, 1998, Sep Average, Ukraine, UKR
8.88879, 1998, Oct Average, Ukraine, UKR
-1.3111, 1998, Nov Average, Ukraine, UKR
-5.07, 1998, Dec Average, Ukraine, UKR
-1.8294, 1999, Jan Average, Ukraine, UKR
-1.3678, 1999, Feb Average, Ukraine, UKR
3.67991, 1999, Mar Average, Ukraine, UKR
11.1859, 1999, Apr Average, Ukraine, UKR
13.1602, 1999, May Average, Ukraine, UKR
